,Day,bike_use,Weekday,Month
1,2018/01/01,10235,Mon,1
2,2018/01/02,14394,Tue,1
3,2018/01/03,20265,Wed,1
4,2018/01/04,17543,Thu,1
5,2018/01/05,21759,Fri,1
6,2018/01/06,13920,Sat,1
7,2018/01/07,12259,Sun,1
8,2018/01/08,23374,Mon,1
9,2018/01/09,24683,Tue,1
10,2018/01/10,26787,Wed,1
11,2018/01/11,25222,Thu,1
12,2018/01/12,24696,Fri,1
13,2018/01/13,17512,Sat,1
14,2018/01/14,15070,Sun,1
15,2018/01/15,19161,Mon,1
16,2018/01/16,26921,Tue,1
17,2018/01/17,26934,Wed,1
18,2018/01/18,26471,Thu,1
19,2018/01/19,25799,Fri,1
20,2018/01/20,9398,Sat,1
21,2018/01/21,5859,Sun,1
22,2018/01/22,26337,Mon,1
23,2018/01/23,26003,Tue,1
24,2018/01/24,20206,Wed,1
25,2018/01/25,28189,Thu,1
26,2018/01/26,26430,Fri,1
27,2018/01/27,14472,Sat,1
28,2018/01/28,17512,Sun,1
29,2018/01/29,26371,Mon,1
30,2018/01/30,28002,Tue,1
31,2018/01/31,24117,Wed,1
32,2018/02/01,25525,Thu,2
33,2018/02/02,25331,Fri,2
34,2018/02/03,8975,Sat,2
35,2018/02/04,13833,Sun,2
36,2018/02/05,23898,Mon,2
37,2018/02/06,25349,Tue,2
38,2018/02/07,25388,Wed,2
39,2018/02/08,25791,Thu,2
40,2018/02/09,21037,Fri,2
41,2018/02/10,9956,Sat,2
42,2018/02/11,14621,Sun,2
43,2018/02/12,24719,Mon,2
44,2018/02/13,20931,Tue,2
45,2018/02/14,18866,Wed,2
46,2018/02/15,25264,Thu,2
47,2018/02/16,25411,Fri,2
48,2018/02/17,23169,Sat,2
49,2018/02/18,18624,Sun,2
50,2018/02/19,19879,Mon,2
51,2018/02/20,25055,Tue,2
52,2018/02/21,26434,Wed,2
53,2018/02/22,26179,Thu,2
54,2018/02/23,23067,Fri,2
55,2018/02/24,16522,Sat,2
56,2018/02/25,14037,Sun,2
57,2018/02/26,19204,Mon,2
58,2018/02/27,18741,Tue,2
59,2018/02/28,10619,Wed,2
60,2018/03/01,8744,Thu,3
61,2018/03/02,8234,Fri,3
62,2018/03/03,7924,Sat,3
63,2018/03/04,10853,Sun,3
64,2018/03/05,24818,Mon,3
65,2018/03/06,26301,Tue,3
66,2018/03/07,22044,Wed,3
67,2018/03/08,25967,Thu,3
68,2018/03/09,18912,Fri,3
69,2018/03/10,18717,Sat,3
70,2018/03/11,16259,Sun,3
71,2018/03/12,19996,Mon,3
72,2018/03/13,28069,Tue,3
73,2018/03/14,28769,Wed,3
74,2018/03/15,25318,Thu,3
75,2018/03/16,28308,Fri,3
76,2018/03/17,8106,Sat,3
77,2018/03/18,6624,Sun,3
78,2018/03/19,20488,Mon,3
79,2018/03/20,24582,Tue,3
80,2018/03/21,27719,Wed,3
81,2018/03/22,27228,Thu,3
82,2018/03/23,26894,Fri,3
83,2018/03/24,18804,Sat,3
84,2018/03/25,19723,Sun,3
85,2018/03/26,29486,Mon,3
86,2018/03/27,22603,Tue,3
87,2018/03/28,15800,Wed,3
88,2018/03/29,20237,Thu,3
89,2018/03/30,6362,Fri,3
90,2018/03/31,11032,Sat,3
91,2018/04/01,13504,Sun,4
92,2018/04/02,7998,Mon,4
93,2018/04/03,22708,Tue,4
94,2018/04/04,23173,Wed,4
95,2018/04/05,30508,Thu,4
96,2018/04/06,30690,Fri,4
97,2018/04/07,25909,Sat,4
98,2018/04/08,9759,Sun,4
99,2018/04/09,16324,Mon,4
100,2018/04/10,26751,Tue,4
101,2018/04/11,24883,Wed,4
102,2018/04/12,26473,Thu,4
103,2018/04/13,27363,Fri,4
104,2018/04/14,34235,Sat,4
105,2018/04/15,21324,Sun,4
106,2018/04/16,30730,Mon,4
107,2018/04/17,33025,Tue,4
108,2018/04/18,40544,Wed,4
109,2018/04/19,43585,Thu,4
110,2018/04/20,45048,Fri,4
111,2018/04/21,42328,Sat,4
112,2018/04/22,38395,Sun,4
113,2018/04/23,35940,Mon,4
114,2018/04/24,33430,Tue,4
115,2018/04/25,33426,Wed,4
116,2018/04/26,34995,Thu,4
117,2018/04/27,21387,Fri,4
118,2018/04/28,17368,Sat,4
119,2018/04/29,15822,Sun,4
120,2018/04/30,17112,Mon,4
121,2018/05/01,34598,Tue,5
122,2018/05/02,23727,Wed,5
123,2018/05/03,35477,Thu,5
124,2018/05/04,36447,Fri,5
125,2018/05/05,39070,Sat,5
126,2018/05/06,40606,Sun,5
127,2018/05/07,45435,Mon,5
128,2018/05/08,41579,Tue,5
129,2018/05/09,41130,Wed,5
130,2018/05/10,38054,Thu,5
131,2018/05/11,38386,Fri,5
132,2018/05/12,16717,Sat,5
133,2018/05/13,29190,Sun,5
134,2018/05/14,38095,Mon,5
135,2018/05/15,42106,Tue,5
136,2018/05/16,34627,Wed,5
137,2018/05/17,37549,Thu,5
138,2018/05/18,37305,Fri,5
139,2018/05/19,36895,Sat,5
140,2018/05/20,39964,Sun,5
141,2018/05/21,38800,Mon,5
142,2018/05/22,41242,Tue,5
143,2018/05/23,38229,Wed,5
144,2018/05/24,31970,Thu,5
145,2018/05/25,35108,Fri,5
146,2018/05/26,33573,Sat,5
147,2018/05/27,33192,Sun,5
148,2018/05/28,36742,Mon,5
149,2018/05/29,24312,Tue,5
150,2018/05/30,34884,Wed,5
151,2018/05/31,37677,Thu,5
152,2018/06/01,37293,Fri,6
153,2018/06/02,38293,Sat,6
154,2018/06/03,39871,Sun,6
155,2018/06/04,35255,Mon,6
156,2018/06/05,37048,Tue,6
157,2018/06/06,41592,Wed,6
158,2018/06/07,37841,Thu,6
159,2018/06/08,39576,Fri,6
160,2018/06/09,36466,Sat,6
161,2018/06/10,38562,Sun,6
162,2018/06/11,41027,Mon,6
163,2018/06/12,38487,Tue,6
164,2018/06/13,40569,Wed,6
165,2018/06/14,37871,Thu,6
166,2018/06/15,39862,Fri,6
167,2018/06/16,31329,Sat,6
168,2018/06/17,26769,Sun,6
169,2018/06/18,39768,Mon,6
170,2018/06/19,41862,Tue,6
171,2018/06/20,41134,Wed,6
172,2018/06/21,41533,Thu,6
173,2018/06/22,41765,Fri,6
174,2018/06/23,38772,Sat,6
175,2018/06/24,38982,Sun,6
176,2018/06/25,44565,Mon,6
177,2018/06/26,46084,Tue,6
178,2018/06/27,44788,Wed,6
179,2018/06/28,43075,Thu,6
180,2018/06/29,43081,Fri,6
181,2018/06/30,38522,Sat,6
182,2018/07/01,37334,Sun,7
183,2018/07/02,42556,Mon,7
184,2018/07/03,44655,Tue,7
185,2018/07/04,43511,Wed,7
186,2018/07/05,44052,Thu,7
187,2018/07/06,43143,Fri,7
188,2018/07/07,36308,Sat,7
189,2018/07/08,38196,Sun,7
190,2018/07/09,41893,Mon,7
191,2018/07/10,43535,Tue,7
192,2018/07/11,44003,Wed,7
193,2018/07/12,41826,Thu,7
194,2018/07/13,38879,Fri,7
195,2018/07/14,37733,Sat,7
196,2018/07/15,37299,Sun,7
197,2018/07/16,41828,Mon,7
198,2018/07/17,43392,Tue,7
199,2018/07/18,43183,Wed,7
200,2018/07/19,42857,Thu,7
201,2018/07/20,40297,Fri,7
202,2018/07/21,38763,Sat,7
203,2018/07/22,37683,Sun,7
204,2018/07/23,42509,Mon,7
205,2018/07/24,44195,Tue,7
206,2018/07/25,44870,Wed,7
207,2018/07/26,43343,Thu,7
208,2018/07/27,34606,Fri,7
209,2018/07/28,41145,Sat,7
210,2018/07/29,18974,Sun,7
211,2018/07/30,38274,Mon,7
212,2018/07/31,42260,Tue,7
213,2018/08/01,43691,Wed,8
214,2018/08/02,43292,Thu,8
215,2018/08/03,40908,Fri,8
216,2018/08/04,39318,Sat,8
217,2018/08/05,40220,Sun,8
218,2018/08/06,41963,Mon,8
219,2018/08/07,40954,Tue,8
220,2018/08/08,42676,Wed,8
221,2018/08/09,20574,Thu,8
222,2018/08/10,29253,Fri,8
223,2018/08/11,33214,Sat,8
224,2018/08/12,23113,Sun,8
225,2018/08/13,36510,Mon,8
