year,month,day,dust,temp,wind,rain
2018,1,1,18,7.8,22.6,1.1
2018,1,2,26,8.5,19.6,12.8
2018,1,3,29,9.9,38.8,2.4
2018,1,4,22,8.9,25.6,10.3
2018,1,5,25,7.5,17.9,0
2018,1,6,27,4.3,10.3,0
2018,1,7,17,4,18.6,0
2018,1,8,28,5,23.6,0
2018,1,9,38,5.8,11.8,0
2018,1,10,33,8.4,13.8,0.7
2018,1,11,34,7.2,7.9,0.2
2018,1,12,32,7.3,8.4,0.7
2018,1,13,30,6.2,17,0
2018,1,14,35,6,10.2,0
2018,1,15,19,8.9,26.3,9
2018,1,16,17,6.4,30,0
2018,1,17,22,5.9,31.5,1.1
2018,1,18,21,8.7,35.3,1.3
2018,1,19,33,4.8,22.5,0
2018,1,20,20,4.2,12.7,5.3
2018,1,21,22,4.3,11.8,12.3
2018,1,22,24,9.9,17.4,0
2018,1,23,20,11.3,19.4,0.4
2018,1,24,18,10.9,27.3,11.4
2018,1,25,29,8.5,18.1,0
2018,1,26,37,6.3,7.5,0
2018,1,27,26,8.3,17.1,0.9
2018,1,28,17,12,25.1,0
2018,1,29,19,10.9,26.1,0.7
2018,1,30,35,6.3,11.3,0.7
2018,1,31,20,7.7,27.4,1.8
2018,2,1,23,5.8,25.1,1.1
2018,2,2,28,6,17.9,0
2018,2,3,23,5,8.1,4.8
2018,2,4,15,4.1,13,0
2018,2,5,22,3.1,12.1,0
2018,2,6,37,2.6,11.5,0
2018,2,7,45,3,11.3,0
2018,2,8,35,4.3,15.2,0
2018,2,9,22,5.8,24.1,7.7
2018,2,10,24,5.3,19.9,3.7
2018,2,11,12,6.3,30.4,1.5
2018,2,12,26,3.9,19,0
2018,2,13,18,4.8,18.8,2.4
2018,2,14,22,5,17.3,8.4
2018,2,15,28,8.5,18.6,0.4
2018,2,16,36,6.1,12.8,0
2018,2,17,37,6.2,7.3,0
2018,2,18,31,6.9,8.6,0
2018,2,19,29,9.2,10.8,1.8
2018,2,20,20,8.2,14.8,0.4
2018,2,21,48,4.8,8.5,0
2018,2,22,34,3.9,16.1,0
2018,2,23,31,2.7,19.8,0
2018,2,24,39,3,25.5,0
2018,2,25,22,2.1,23.6,0
2018,2,26,31,0.5,19.7,0.6
2018,2,27,36,-1.4,11.1,0.6
2018,2,28,27,-3,20.2,5.5
2018,3,1,42,-1.5,36.9,2.9
2018,3,2,48,-0.3,34.9,2.2
2018,3,3,64,2.5,25.8,0.7
2018,3,4,31,6.2,11.4,0.2
2018,3,5,26,7.9,16.9,0.4
2018,3,6,27,8.3,12.2,0.4
2018,3,7,29,6.9,12.8,3.3
2018,3,8,22,7.7,24.2,1.3
2018,3,9,31,7.3,11.1,7.3
2018,3,10,29,12.2,15,0.2
2018,3,11,33,8.4,14.1,2.4
2018,3,12,22,8.8,17.6,5.7
2018,3,13,26,8.2,14.8,0
2018,3,14,21,9.2,20.1,0
2018,3,15,21,10,17.2,4.8
2018,3,16,30,10.6,13.7,1.5
2018,3,17,25,1.8,22.6,4.4
2018,3,18,31,0.7,25.5,3.3
2018,3,19,36,1.7,18.3,0
2018,3,20,33,5,12.5,0.1
2018,3,21,35,6.4,14.9,0
2018,3,22,32,8.2,20.1,0
2018,3,23,37,9.7,20.6,0
2018,3,24,42,8.1,10.2,1.3
2018,3,25,45,9.1,5.4,0
2018,3,26,35,9.6,9.6,0
2018,3,27,23,9.7,16.9,4.4
2018,3,28,22,6.6,13.5,11.7
2018,3,29,26,6.6,14.8,3.5
2018,3,30,17,6.6,17.2,10.8
2018,3,31,17,6.5,15.7,2.6
2018,4,1,17,6.2,12.9,0
2018,4,2,17,9.3,14.9,13.6
2018,4,3,21,12,20,1.8
2018,4,4,21,10.8,23.5,0.2
2018,4,5,16,8.7,18.1,0
2018,4,6,25,10.9,18,0
2018,4,7,36,12.8,11,0
2018,4,8,28,10.9,5.6,6.2
2018,4,9,27,9.3,13.3,7
2018,4,10,36,10.7,11.6,4
2018,4,11,48,9.8,7.7,2.4
2018,4,12,42,8.9,9.8,0.1
2018,4,13,38,9.6,10.5,0
2018,4,14,48,12.7,12.3,0
2018,4,15,36,12.1,14.2,0.2
2018,4,16,28,12.4,18.2,0
2018,4,17,26,15.3,20.3,0
2018,4,18,34,17.7,13.3,0
2018,4,19,51,19.6,10,0
2018,4,20,41,20,11,0
2018,4,21,49,15.7,16.9,0
2018,4,22,38,18.3,18.6,3.7
2018,4,23,24,13.1,22.8,0
2018,4,24,23,14.1,23.2,0.4
2018,4,25,21,12.1,25.7,0.4
2018,4,26,25,11.3,23.2,0.4
2018,4,27,23,10.5,13.8,7.7
2018,4,28,17,9.3,10,2.2
2018,4,29,12,7.9,13.7,0
2018,4,30,20,7.4,21.1,5.3
2018,5,1,23,9.9,18.7,0
2018,5,2,17,11,19.5,4.6
2018,5,3,27,12,11.1,0
2018,5,4,30,15.4,9.2,0
2018,5,5,36,15.4,11.9,0
2018,5,6,41,16.7,11.4,0
2018,5,7,45,18.9,10,0
2018,5,8,46,19.1,13.9,0
2018,5,9,28,16.5,13.8,0
2018,5,10,22,14.2,17.1,2.2
2018,5,11,28,14.3,16.1,0
2018,5,12,27,14.3,8.4,7.3
2018,5,13,25,15.7,8.5,0
2018,5,14,21,14.9,15.4,0
2018,5,15,21,16.5,12.7,0
2018,5,16,23,12.7,13.8,0
2018,5,17,25,11.6,13,0
2018,5,18,27,12,9.8,0
2018,5,19,35,14.2,11.1,0
2018,5,20,34,13.7,14.7,0
2018,5,21,45,16,8.3,0
2018,5,22,35,16.6,13.9,0
2018,5,23,32,14.5,15.8,0
2018,5,24,51,16,10.1,2
2018,5,25,44,16.6,8.3,0
2018,5,26,57,19.7,20.1,0.4
2018,5,27,55,20.5,11.8,3.3
2018,5,28,59,20,9.8,2.2
2018,5,29,30,15.8,12.7,16.3
2018,5,30,34,16.9,8.4,0.4
2018,5,31,44,17.5,13.2,0
2018,6,1,35,19.3,11.2,0
2018,6,2,23,19.7,16,0
2018,6,3,23,20.6,11.7,0
