"date","counts","avg_temp","min_temp","max_temp","rainfall","wind_speed","humidity","snowfall","ground_temp","dust","year","month"
"2018-01-01",4950,-1.3,-5.1,3.8,0,1.4,39.1,0,-1.7,38,"2018","01"
"2018-01-02",7136,-1.8,-4.3,1.8,0,1.8,42,0,-2.3,32,"2018","01"
"2018-01-03",7156,-4.7,-7.1,-0.4,0,2.2,42.3,0,-3.4,32,"2018","01"
"2018-01-04",7102,-4.7,-8.7,-0.7,0,1.4,43,0,-3.3,40,"2018","01"
"2018-01-05",7705,-3,-5.6,1.6,0,1.7,48.4,0,-2.6,46,"2018","01"
"2018-01-06",5681,-2.8,-6.8,2.9,0,1.5,45.8,0,-3.1,40,"2018","01"
"2018-01-07",5220,-0.8,-5.7,2.8,0,0.8,42.1,0,-2.2,42,"2018","01"
"2018-01-08",6309,1.3,-1.2,4,0.9,1.8,51.9,1,0.4,41,"2018","01"
"2018-01-09",5988,-4.2,-6.1,-1.2,0.5,2.9,59.4,0.5,-1.2,35,"2018","01"
"2018-01-10",4476,-7.5,-10.3,-4.8,0.3,3,52,0.3,-2.9,26,"2018","01"
"2018-01-11",4337,-11.1,-13.6,-7.4,0,2.8,49.8,0,-5.6,29,"2018","01"
"2018-01-12",4401,-10.2,-15.3,-5.4,0,1.7,35.4,0,-6.1,24,"2018","01"
"2018-01-13",3756,-4.4,-6.6,-1.2,0.4,0.8,67.3,0.6,-2.8,44,"2018","01"
"2018-01-14",4675,0.6,-4.4,5.4,0,1.2,64.1,0,-1.1,52,"2018","01"
"2018-01-15",6993,4.7,1.8,7.7,0.2,1.4,63.9,0,1.5,56,"2018","01"
"2018-01-16",7421,3.5,0.1,6.8,0,0.7,59.1,0,0.7,87,"2018","01"
"2018-01-17",6990,4.5,2.4,8.7,0,1.2,64.1,0,1.7,80,"2018","01"
"2018-01-18",7054,2.1,0.3,4.5,0,1.9,59.6,0,1.3,67,"2018","01"
"2018-01-19",8329,1,-2.5,5.5,0,1.6,43,0,0.3,50,"2018","01"
"2018-01-20",6148,2.2,-1,6.9,0,1.6,57.6,0,0.2,86,"2018","01"
"2018-01-21",5574,0.4,-3.7,5.5,0,1,36.6,0,-0.5,53,"2018","01"
"2018-01-22",4929,0.2,-5.3,4,3.3,1.5,56.5,1,-0.2,34,"2018","01"
"2018-01-23",4263,-11.7,-14.6,-5.3,0,3.7,42,0,-4.4,19,"2018","01"
"2018-01-24",3370,-14.2,-16.3,-10.7,0,3.4,31.6,0,-8.3,28,"2018","01"
"2018-01-25",3307,-14,-16.4,-9.5,0,2.8,32.6,0,-8.5,24,"2018","01"
"2018-01-26",3116,-14.8,-17.8,-10.7,0,2.6,34.9,0,-9.3,30,"2018","01"
"2018-01-27",2833,-9.9,-15.9,-3.5,0,1.4,37.4,0,-7.5,38,"2018","01"
"2018-01-28",3028,-6.3,-9.3,-1.2,0,2.6,36,0,-4.4,26,"2018","01"
"2018-01-29",4425,-8.5,-11.6,-4.7,0,2.7,35,0,-6.2,42,"2018","01"
