지점,지점명,일시,일 미세먼지 농도(㎍/㎥)
108,서울,2021-01-01,36
108,서울,2021-01-02,43
108,서울,2021-01-03,47
108,서울,2021-01-04,50
108,서울,2021-01-05,37
108,서울,2021-01-06,30
108,서울,2021-01-07,56
108,서울,2021-01-08,27
108,서울,2021-01-09,33
108,서울,2021-01-10,48
108,서울,2021-01-11,63
108,서울,2021-01-12,88
108,서울,2021-01-13,146
108,서울,2021-01-14,100
108,서울,2021-01-15,109
108,서울,2021-01-16,69
108,서울,2021-01-17,29
108,서울,2021-01-18,53
108,서울,2021-01-19,43
108,서울,2021-01-20,59
108,서울,2021-01-21,72
108,서울,2021-01-22,71
108,서울,2021-01-24,20
108,서울,2021-01-25,34
108,서울,2021-01-26,70
108,서울,2021-01-27,50
108,서울,2021-01-28,51
108,서울,2021-01-29,32
108,서울,2021-01-30,74
108,서울,2021-01-31,75
108,서울,2021-02-01,99
108,서울,2021-02-02,39
108,서울,2021-02-03,49
108,서울,2021-02-04,35
108,서울,2021-02-05,41
108,서울,2021-02-06,108
108,서울,2021-02-07,118
108,서울,2021-02-08,34
108,서울,2021-02-09,31
108,서울,2021-02-10,56
108,서울,2021-02-11,106
108,서울,2021-02-12,123
108,서울,2021-02-13,116
108,서울,2021-02-14,115
108,서울,2021-02-15,78
108,서울,2021-02-16,36
108,서울,2021-02-17,64
108,서울,2021-02-18,58
108,서울,2021-02-19,67
108,서울,2021-02-20,99
108,서울,2021-02-21,108
108,서울,2021-02-22,69
108,서울,2021-02-23,69
108,서울,2021-02-24,66
108,서울,2021-02-25,73
108,서울,2021-02-26,42
108,서울,2021-02-27,23
108,서울,2021-02-28,32
108,서울,2021-03-02,18
108,서울,2021-03-03,57
108,서울,2021-03-04,66
108,서울,2021-03-05,56
108,서울,2021-03-06,39
108,서울,2021-03-07,37
108,서울,2021-03-08,55
108,서울,2021-03-09,63
108,서울,2021-03-10,129
108,서울,2021-03-11,156
108,서울,2021-03-12,89
108,서울,2021-03-13,74
108,서울,2021-03-14,117
108,서울,2021-03-15,128
108,서울,2021-03-16,129
108,서울,2021-03-17,121
108,서울,2021-03-18,132
108,서울,2021-03-19,85
108,서울,2021-03-20,46
108,서울,2021-03-21,58
108,서울,2021-03-22,50
108,서울,2021-03-23,108
108,서울,2021-03-24,89
108,서울,2021-03-25,95
108,서울,2021-03-26,159
108,서울,2021-03-27,107
108,서울,2021-03-29,389
108,서울,2021-03-30,189
108,서울,2021-03-31,50
108,서울,2021-04-01,52
108,서울,2021-04-02,57
108,서울,2021-04-03,51
108,서울,2021-04-05,30
108,서울,2021-04-06,54
108,서울,2021-04-07,72
108,서울,2021-04-08,41
108,서울,2021-04-09,42
108,서울,2021-04-10,45
108,서울,2021-04-11,59
108,서울,2021-04-12,62
108,서울,2021-04-13,24
108,서울,2021-04-14,50
108,서울,2021-04-15,71
108,서울,2021-04-16,103
108,서울,2021-04-17,105
108,서울,2021-04-18,50
108,서울,2021-04-19,69
108,서울,2021-04-20,78
108,서울,2021-04-21,81
108,서울,2021-04-22,78
108,서울,2021-04-23,41
108,서울,2021-04-24,24
108,서울,2021-04-25,26
108,서울,2021-04-26,29
108,서울,2021-04-27,35
